comm_code,name,RE_ASSESSED_VALUE,PROPERTY_TAX,Population,Area (m^2),pop_dens (per m^2
REN,RENFREW,2080997013,8054707.039,6580,2657124,0.002476362
COA,COACH HILL,1014580630,3927035.786,3275,1072910,0.003052446
CUR,CURRIE BARRACKS,927471828,3589872.457,1275,984992,0.001294427
CHR,CHRISTIE PARK,732016500,2833343.065,1880,819170,0.002295006
BYV,BAYVIEW,379190000,1467692.814,670,423832,0.001580815
PUM,PUMP HILL,672158500,2601656.69,1455,942507,0.001543755
GAW,GARRISON WOODS,1121601500,4341270.766,2860,777144,0.003680142
RIC,RICHMOND,1921699385,7438129.64,5250,1905679,0.002754924
RUT,RUTLAND PARK,520777000,2015719.456,2140,681150,0.003141746
PAL,PALLISER,909640040,3520852.739,3285,987548,0.003326421
RAM,RAMSAY,781116110,3023388.015,2155,985785,0.002186075
STA,ST. ANDREWS HEIGHTS,645190500,2497274.349,1345,1159872,0.001159611
UNI,UNIVERSITY HEIGHTS,788605520,3052376.526,2965,817107,0.003628656
SOW,SOUTHWOOD,1233466696,4774256.194,6095,2664689,0.002287321
PAT,PATTERSON,1500269000,5806941.191,4145,2045579,0.002026321
ING,INGLEWOOD,1300114696,5032223.942,4130,2500704,0.001651535
BRA,BRAESIDE,1262267000,4885730.65,5700,1961066,0.002906582
MPL,MAPLE RIDGE,624780000,2418273.468,1830,2694745,0.0006791
GAG,GARRISON GREEN,514435500,1991174.046,1680,360470,0.004660582
NGM,NORTH GLENMORE PARK,984854800,3811978.989,2435,1155992,0.002106416
VAR,VARSITY,3995380842,15464521.09,12040,6810356,0.001767896 
UMR,UPPER MOUNT ROYAL,2027358000,7847091.875,2735,1274589,0.00214579
CLI,CLIFF BUNGALOW,535722870,2073568.941,1805,362794,0.004975275
ARB,ARBOUR LAKE,2837065000,10981143.79,10335,4392884,0.002352669
HAW,HAWKWOOD,2438799500,9439617.345,9115,3207831,0.002841484
CIT,CITADEL,2340013500,9057256.253,10180,2732824,0.003725084
LPK,LINCOLN PARK,402935500,1559602.146,1590,1485163,0.00107059
FHT,FOREST HEIGHTS,809228500,3132199.832,5985,1505202,0.003976211
DOV,DOVER,1759988310,6812210.753,10795,4151157,0.00260048
MAF,MAYFAIR,256259500,991878.0207,410,289436,0.001416548
ERI,ERIN WOODS,1040645000,4027920.537,6790,1597614,0.004250088
SOV,SOUTHVIEW,359198250,1390312.746,1550,1592416,0.000973364
EAG,EAGLE RIDGE,273246500,1057627.903,260,376293,0.000690951
KEL,KELVIN GROVE,604437000,2339533.852,1805,770120,0.002343791
BRD,BRIDGELAND/RIVERSIDE,2267731638,8777482.078,6350,3049315,0.002082435
ALB,ALBERT PARK/RADISSON HEIGHTS,1030448128,3988452.524,6740,2507524,0.00268791
RED,RED CARPET,245378500,949762.0221,1745,562883,0.003100111
PEN,PENBROOKE MEADOWS,1148249500,4444414.515,8235,2037273,0.004042168
PKH,PARKHILL,697977820,2701592.95,1770,657400,0.002692425
SET,SETON,2424320957,9383576.696,3590,4559352,0.000787393
GLA,GLAMORGAN,1540170500,5961383.937,6575,2032397,0.003235096
GRE,GREENWOOD/GREENBRIAR,392976000,1521052.906,1055,1190474,0.000886202
WSP,WEST SPRINGS,4070817875,15756507.67,11560,4175288,0.002768671
SIG,SIGNAL HILL,4185104000,16198863.54,13000,5437217,0.002390929
CPF,COPPERFIELD,2930376500,11342315.28,14095,4608137,0.00305872
CAR,CARRINGTON,1845526307,7143294.124,2750,2988161,0.000920298
EVN,EVANSTON,4345816000,16820915.41,18710,4881365,0.003832944
LKV,LAKEVIEW,2108504500,8161177.518,5640,2240240,0.002517587
DIS,DISCOVERY RIDGE,1566177024,6062044.789,4330,3580493,0.001209331
12A,12A,23651805,91546.67643,105,11644982,9.01676E-06
SVO,SILVERADO,2050935726,7938351.821,7975,5970868,0.001335652
MLR,MILLRISE,1369500000,5300786.7,6655,1782204,0.00373414
PCK,PINE CREEK,991000000,3835764.6,245,2498077,9.80754E-05
STR,STRATHCONA PARK,2155747500,8344036.274,6830,2705115,0.002524846
BLM,BELMONT,894250500,3461285.985,800,2844737,0.000281221
